Ad Name,Ad Set Name,Reach,Impressions,Frequency,Results,Cost per Result,Amount Spent,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Video Watches at 25%,Video Watches at 50%,Video Watches at 75%,Video Watches at 95%,Messaging Conversations Started,Cost per Messaging Conversations Started,Day
01 - Arte Pneu,Número errado,38,40,"1,05",,,"1,14","28,5",,,,,,,,,,2026-05-22
02 - A2 Arte Pneu,Número errado,308,351,"1,14",,,"5,69","16,21",4,"1,42","1,14",1,,,,3,"1,9",2026-05-22
03 - A3 Arte Pneu,Número errado,98,114,"1,16",,,"1,9","16,67",3,"0,63","2,63",,,,,,,2026-05-22
04 - Vídeo Genérico,Número errado,303,323,"1,07",,,"4,15","12,85",2,"2,08","0,62",55,44,36,26,,,2026-05-22
05 - A2 Vídeo Genérico,Número errado,117,122,"1,04",,,"1,66","13,61",,,,21,11,9,7,,,2026-05-22
06 - A3 Vídeo Genérico,Número errado,3,3,1,,,"0,11","36,67",,,,1,1,,,,,2026-05-22
01 - Arte Amort.recon,Número errado,202,224,"1,11",,,"2,79","12,46",5,"0,56","2,23",,,,,1,"2,79",2026-05-22
02 - A2 Arte Amort.recon,Número errado,54,61,"1,13",,,"1,09","17,87",1,"1,09","1,64",,,,,,,2026-05-22
03- Vídeo Amort.recon,Número errado,156,163,"1,04",,,"2,02","12,39",2,"1,01","1,23",51,28,20,14,,,2026-05-22
01 - Pneu cru,Desativado,219,230,"1,05",,,"3,59","15,61",1,"3,59","0,43",,,,,,,2026-05-22
02 - Pneu oferta relâmpago,Desativado,133,141,"1,06",,,"2,13","15,11",3,"0,71","2,13",,,,,,,2026-05-22
02 - A2 Arte Pneu,Número errado,198,214,"1,08",,,"4,05","18,93",4,"1,01","1,87",,,,,2,"2,03",2026-05-23
03 - A3 Arte Pneu,Número errado,168,189,"1,13",,,"3,82","20,21",1,"3,82","0,53",,,,,,,2026-05-23
04 - Vídeo Genérico,Número errado,1198,1395,"1,16",,,"24,97","17,9",12,"2,08","0,86",287,195,152,112,5,"4,99",2026-05-23
05 - A2 Vídeo Genérico,Número errado,270,296,"1,1",,,"5,21","17,6",4,"1,3","1,35",55,33,30,23,3,"1,74",2026-05-23
01 - Arte Amort.recon,Número errado,556,701,"1,26",,,"7,63","10,88",7,"1,09",1,,,,,4,"1,91",2026-05-23
02 - A2 Arte Amort.recon,Número errado,94,114,"1,21",,,"2,68","23,51",,,,,,,,,,2026-05-23
03- Vídeo Amort.recon,Número errado,615,683,"1,11",,,"8,93","13,07",2,"4,47","0,29",218,126,98,77,1,"8,93",2026-05-23
01 - Pneu cru,Desativado,668,755,"1,13",,,"14,11","18,69",6,"2,35","0,79",,,,,2,"7,06",2026-05-23
02 - Pneu oferta relâmpago,Desativado,320,357,"1,12",,,"5,07","14,2",1,"5,07","0,28",,,,,1,"5,07",2026-05-23
02- Vídeo eu duvido,Desativado,443,486,"1,1",,,"9,08","18,68",8,"1,14","1,65",175,105,87,75,5,"1,82",2026-05-23
02 - A2 Arte Pneu,Número errado,41,44,"1,07",,,"0,38","8,64",1,"0,38","2,27",,,,,,,2026-05-24
03 - A3 Arte Pneu,Número errado,46,47,"1,02",,,"0,52","11,06",,,,,,,,,,2026-05-24
04 - Vídeo Genérico,Número errado,1209,1520,"1,26",,,"27,15","17,86",12,"2,26","0,79",265,185,141,98,5,"5,43",2026-05-24
05 - A2 Vídeo Genérico,Número errado,272,312,"1,15",,,"4,23","13,56",3,"1,41","0,96",52,31,25,21,,,2026-05-24
01 - Arte Amort.recon,Número errado,500,576,"1,15",,,"5,87","10,19",5,"1,17","0,87",,,,,,,2026-05-24
02 - A2 Arte Amort.recon,Número errado,73,87,"1,19",,,"0,87",10,1,"0,87","1,15",,,,,,,2026-05-24
03- Vídeo Amort.recon,Número errado,713,780,"1,09",,,"9,5","12,18",3,"3,17","0,38",224,117,83,63,1,"9,5",2026-05-24
