Ad Name,Ad Set Name,Reach,Impressions,Frequency,Results,Cost per Result,Amount Spent,"CPM (Cost per 1,000 Impressions)",Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Video Watches at 25%,Video Watches at 50%,Video Watches at 75%,Video Watches at 95%,Cost per Messaging Conversations Started,Messaging Conversations Started,Day
01 - Arte Pneu,"Desativado, numero errado.",572,669,"1,17",,,"12,18","18,21",8,"1,52","1,2",,,,,"6,09",2,2026-05-23
02 - A2 Arte Pneu.,"Desativado, numero errado.",721,811,"1,12",,,"10,12","12,48",15,"0,67","1,85",,,,,"5,06",2,2026-05-23
03- Vídeo Genérico,"Desativado, numero errado.",37,39,"1,05",,,"0,58","14,87",,,,6,5,5,4,,,2026-05-23
01 - Arte Pneu,"Desativado, numero errado.",106,106,1,,,"1,6","15,09",1,"1,6","0,94",,,,,"1,6",1,2026-05-23
03- Vídeo Genérico,"Desativado, numero errado.",552,602,"1,09",,,"12,66","21,03",1,"12,66","0,17",93,51,36,26,"12,66",1,2026-05-23
02 - A2 Arte Pneu,"Desativado, numero errado.",19,20,"1,05",,,"0,87","43,5",,,,,,,,,,2026-05-23
01 - Arte pneu + amort,"Desativado, numero errado.",498,568,"1,14",,,"9,75","17,17",4,"2,44","0,7",,,,,,,2026-05-23
02 - Arte amort. recon,"Desativado, numero errado.",191,227,"1,19",,,"3,94","17,36",,,,,,,,,,2026-05-23
03 - Arte amort.recon,"Desativado, numero errado.",253,300,"1,19",,,"3,57","11,9",1,"3,57","0,33",,,,,,,2026-05-23
01 - Arte Pneu,"Desativado, numero errado.",35,38,"1,09",,,"0,63","16,58",1,"0,63","2,63",,,,,"0,63",1,2026-05-24
02 - A2 Arte Pneu.,"Desativado, numero errado.",873,945,"1,08",,,"10,33","10,93",4,"2,58","0,42",,,,,,,2026-05-24
03- Vídeo Genérico,"Desativado, numero errado.",929,1188,"1,28",,,"20,89","17,58",7,"2,98","0,59",171,111,97,75,"4,18",5,2026-05-24
01 - Arte Pneu,"Desativado, numero errado.",490,538,"1,1",,,"7,04","13,09",2,"3,52","0,37",,,,,,,2026-05-24
03- Vídeo Genérico,"Desativado, numero errado.",110,122,"1,11",,,"1,5","12,3",,,,17,11,9,6,,,2026-05-24
02 - A2 Arte Pneu,"Desativado, numero errado.",816,1057,"1,3",,,"15,85",15,8,"1,98","0,76",,,,,"5,28",3,2026-05-24
01 - Arte pneu + amort,"Desativado, numero errado.",56,63,"1,13",,,"1,06","16,83",,,,,,,,,,2026-05-24
02 - Arte amort. recon,"Desativado, numero errado.",48,50,"1,04",,,"0,97","19,4",1,"0,97",2,,,,,,,2026-05-24
03 - Arte amort.recon,"Desativado, numero errado.",1390,1821,"1,31",,,"22,75","12,49",14,"1,63","0,77",,,,,"3,25",7,2026-05-24
01 - Arte Pneu,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-25
02 - A2 Arte Pneu.,"Desativado, numero errado.",552,594,"1,08",,,"7,42","12,49",8,"0,93","1,35",,,,,"2,47",3,2026-05-25
03- Vídeo Genérico,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-25
01 - Arte Pneu,"Desativado, numero errado.",609,657,"1,08",,,"7,35","11,19",3,"2,45","0,46",,,,,"7,35",1,2026-05-25
03- Vídeo Genérico,"Desativado, numero errado.",0,0,0,,,0,,,,,,,,,,,2026-05-25
02 - A2 Arte Pneu,"Desativado, numero errado.",3,3,1,,,"0,01","3,33",,,,,,,,,,2026-05-25
